_id,authors[0],authors[1],authors[2],authors[3],authors[4],authors[5],authors[6],authors[7],authors[8],authors[9],authors[10]
64e07967a30d4f57116b89d7,4819572610828424,22850500618628944,45328793774436904,9778860096874756,,,,,,,
64e07981a30d4f01896b8a61,4819572610828424,23057787038766264,22850500618628944,45328793774436904,7783311050330977,6099434100748651,,,,,
64e0799fa30d4fd3ec6b8ab6,4206884882327082,4819572610828424,22850500618628944,45328793774436904,8748397090080147,6240751207079938,,,,,
64e5e1679de5c4da110cc58f,18192243612685188,7074585794886776,,,,,,,,,
64e5e2039de5c4cf510cc951,7666095416671002,,,,,,,,,,
64e5e5d69de5c4730b0cda1e,7074585794886776,18192243612685188,,,,,,,,,
64e8b8c137af221b5e95fafd,6545332055051722,19915555312544000,,,,,,,,,
64fc4ee95ca00ee1865e9c5c,561850600940154,22850500618628944,,,,,,,,,
6526a89a6b40e6b3f07ca78e,5924870841764651,,,,,,,,,,
653fa301d84fc2c8886a6e18,7074585794886776,1804115419174801,7095881404422832,,,,,,,,
6581aa5cdb0cc1377c830ae6,17554376703056108,,,,,,,,,,
65f807be11260a1560fae409,40930894256863624,4102495549846781,,,,,,,,,
661d4aa73ec48d6830e41a28,931921580120312,29901060748384368,,,,,,,,,
661d7fa9dfbb768c43102d9b,931921580120312,22921974741436512,,,,,,,,,
661d908bcb919cfaa01b394d,931921580120312,29901060748384368,,,,,,,,,
661d93e6be73d9714cab6670,931921580120312,29901060748384368,,,,,,,,,
661d9a0a0e8acf5b4354403a,931921580120312,22921974741436512,,,,,,,,,
662629c817f13711cfa610da,8640248443551848,9843240642117376,22850500618628944,7074585794886776,1591920200844339,,,,,,
66d706892343ff971256af4f,2354742961576124,,,,,,,,,,
66d88fb55ef84d318b06d6a9,7168823273953895,,,,,,,,,,
66d9a265755933125df96716,44457479133290056,6619197336313236,,,,,,,,,
670fa3344c243d1dc59ab0d8,536542811773133,18192243612685188,,,,,,,,,
